"",,,,Tanktables,,,1 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB1,,,
"",,,,,,,
"",,,,,,,
320,254986,255786,256585,257385 258185 258985 259785,,260585,261385 262185
330,262985,263785,264585,265384 266184 266984 267784,,268584,269384 270184
340,270984,271784,272584,273383 274183 274983 275783,,276583,277382 278182
350,278981,279781,280580,281380 282179 282979 283778,,284578,285377 286177
360,286976,287776,288575,289375 290174 290974 291773,,292573,293372 294172
370,294971,295771,296570,297370 298169 298969 299768,,300568,301367 302167
380,302966,303766,304565,305365 306165 306964 307764,,308563,309363 310161
390,310957,311753,312549,313344 314140 314936 315732,,316528,317324 318120
400,318916,319712,320508,321303 322099 322895 323691,,324487,325283 326079
410,326875,327671,328468,329264 330060 330856 331653,,332449,333245 334042
420,334838,335634,336431,337227 338023 338819 339616,,340412,341208 342005
430,342799,343590,344381,345171 345962 346753 347544,,348335,349126 349916
440,350707,351498,352289,353080 353864 354615 355368,,356120,356851 357518
"",,,,Tanktables,,,12 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE SB3,,,
"",,,,,,,
"",,,,,,,
